passage_id,cn,vn,en
H5_10_34,他喜欢用相机拍风景照。,Anh ấy thích dùng máy ảnh để chụp ảnh phong cảnh.,He likes to take pictures of scenery with his camera.
H5_10_35,公司要求所有员工穿统一的服装。,Công ty yêu cầu tất cả nhân viên phải mặc đồng phục.,The company requires all employees to wear a uniform.
H5_10_36,申请签证必须按照正确的程序办理。,"Để xin thị thực, bạn phải tuân theo đúng quy trình.","To apply for a visa, you must follow the correct procedure."
H5_10_37,她很擅长制作各种各样的甜点。,Cô ấy rất giỏi làm các loại món tráng miệng.,She is very skilled at making all kinds of desserts.
H5_10_38,在我心里，我的妈妈是最完美的人。,"Trong lòng tôi, mẹ là người hoàn hảo nhất.","In my heart, my mother is the most perfect person."
H5_10_39,我把我童年的照片都放进了这本相册里。,Tôi đã cất những bức ảnh thời thơ ấu của mình vào cuốn album ảnh này.,I put the photos from my childhood into this photo album.
H5_10_40,春节的时候，我们会去看望亲友。,"Trong dịp Tết Nguyên Đán, chúng tôi sẽ đi thăm họ hàng và bạn bè.","During Chinese New Year, we will visit our relatives and friends."
H5_10_41,他们之间存在根本性的意见分歧。,Giữa họ tồn tại một sự khác biệt cơ bản về quan điểm.,A fundamental difference of opinion exists between them.
H5_10_42,你能移动一下吗？你挡住我的视线了。,Bạn có thể dịch qua một chút được không? Bạn đang che khuất tầm nhìn của tôi.,Could you move a little? You are blocking my view.
H5_10_43,我喜欢色彩鲜艳的衣服。,Tôi thích những bộ quần áo có màu sắc tươi sáng.,I like clothes with bright colors.
H5_10_44,他没有好好准备，因而面试失败了。,"Anh ấy đã không chuẩn bị tốt, do đó đã trượt buổi phỏng vấn.","He didn't prepare well, and therefore failed the interview."
H5_10_45,他的行为很令人失望。,Hành vi của anh ấy rất đáng thất vọng.,His behavior was very disappointing.
H5_10_46,这套小说一共有十册。,Bộ tiểu thuyết này có tổng cộng mười tập.,This series of novels has a total of ten volumes.
H5_10_47,照相馆有统一的程序来制作相册。,Studio ảnh có một quy trình thống nhất để làm album ảnh.,The photo studio has a unified procedure for making photo albums.
H5_10_48,他完美的表演令在场的所有亲友都鼓掌叫好。,Màn trình diễn hoàn hảo của anh ấy đã khiến tất cả họ hàng và bạn bè có mặt phải vỗ tay.,His perfect performance made all the relatives and friends present applaud.
H5_10_49,日落美丽的色彩被那栋高楼挡住了。,Màu sắc tuyệt đẹp của hoàng hôn đã bị tòa nhà cao tầng đó che khuất.,The beautiful colors of the sunset were blocked by that tall building.
H5_10_50,我们需要拍工作证件照，所以背景色彩必须统一。,"Chúng tôi cần chụp ảnh cho giấy phép lao động, vì vậy màu nền phải thống nhất.","We need to take a photo for our work permit, so the background color must be unified."
H5_10_51,这个计划中存在很多问题，因而它不是一个完美的方案。,"Kế hoạch này tồn tại nhiều vấn đề, do đó nó không phải là một giải pháp hoàn hảo.","Many problems exist in this plan, therefore it is not a perfect solution."
H5_10_52,他终于鼓起勇气，向他暗恋了很久的女孩表白了。,Cuối cùng anh ấy đã lấy hết can đảm để tỏ tình với cô gái mà anh đã thầm yêu từ lâu.,He finally mustered up the courage to confess to the girl he had a secret crush on for a long time.
H5_10_53,他写的那张字条充满了真诚的情感。,Mẩu giấy anh ấy viết chứa đầy tình cảm chân thành.,The note he wrote was full of sincere emotions.
H5_10_54,你应该快点去表白，不然她可能就和别人在一起了。,"Bạn nên tỏ tình sớm đi, nếu không cô ấy có thể sẽ ở bên người khác.","You should confess soon, otherwise she might be with someone else."
H5_10_55,把礼物塞进她手里后，他匆忙地逃走了。,"Sau khi nhét món quà vào tay cô ấy, anh ta vội vàng bỏ chạy.","After stuffing the gift into her hands, he ran away in a hurry."
H5_10_56,等待她的回复让我感到很不安，我只能不停地摇头。,Việc chờ đợi câu trả lời của cô ấy khiến tôi cảm thấy rất bất an; tôi chỉ biết lắc đầu.,Waiting for her reply made me feel very uneasy; I just kept shaking my head.
H5_10_57,我非常愤怒，难道我连喜欢你的资格都没有吗？,Tôi rất tức giận. Lẽ nào tôi ngay cả tư cách thích bạn cũng không có?,I was very angry. Do I not even have the right to like you?
H5_10_58,承认自己的错误需要很大的勇气。,Cần rất nhiều dũng khí để thừa nhận sai lầm của mình.,It takes a lot of courage to admit one's mistakes.
H5_10_59,未来充满了希望和挑战。,Tương lai tràn đầy hy vọng và thử thách.,The future is full of hope and challenges.
H5_10_60,妈妈在桌上留了张字条，让我记得吃饭。,Mẹ tôi để lại một mẩu giấy trên bàn dặn tôi nhớ ăn cơm.,My mom left a note on the table telling me to remember to eat.
H5_10_61,早上的地铁里总是塞满了人。,Tàu điện ngầm buổi sáng luôn nhét đầy người.,The morning subway is always stuffed with people.
H5_10_62,他今天早上走得太匆忙了，结果忘了带钥匙。,Sáng nay anh ấy đi vội quá nên quên cả chìa khóa.,He left in such a hurry this morning that he forgot his keys.
H5_10_63,你不能总是逃避问题，你必须面对它们。,Bạn không thể cứ trốn chạy vấn đề; bạn phải đối mặt với chúng.,You can't just run away from your problems; you have to face them.
H5_10_64,这个消息让大家感到十分不安。,Tin tức này khiến mọi người cảm thấy vô cùng bất an.,The news made everyone feel very uneasy.
H5_10_65,看到主人，小狗开心地摇着尾巴。,Chú chó vui mừng vẫy đuôi khi nhìn thấy chủ.,The dog wagged its tail happily when it saw its owner.
H5_10_66,他不负责任的行为让他的父母感到非常愤怒。,Hành vi vô trách nhiệm của anh ta khiến cha mẹ vô cùng tức giận.,His irresponsible behavior made his parents extremely angry.
H5_10_67,他没有申请这份工作的资格。,Anh ta không có đủ tư cách để ứng tuyển công việc này.,He does not have the qualifications to apply for this job.
H5_10_68,我们必须现在出发，不然会错过航班的。,"Chúng ta phải đi ngay bây giờ, nếu không sẽ lỡ chuyến bay.","We must leave now, otherwise we will miss the flight."
H5_10_69,学生时代暗恋同学是很正常的事。,Việc học sinh thầm mến bạn cùng lớp là chuyện rất bình thường.,It's very common for students to have a secret crush on their classmates.
H5_10_70,他存了很多年的钱，才终于在市中心买了一套公寓。,Anh ấy đã tiết kiệm nhiều năm để cuối cùng mua được một căn hộ ở trung tâm thành phố.,He saved for many years to finally buy an apartment in the city center.
H5_10_71,我得去超市买点儿卫生纸、牙膏之类的日用品。,Tôi cần đi siêu thị mua một ít đồ dùng hàng ngày như giấy vệ sinh và kem đánh răng.,I need to go to the supermarket to buy some daily necessities like toilet paper and toothpaste.
H5_10_72,她看到我的时候，对我微笑点头，但是什么也没说。,"Khi cô ấy nhìn thấy tôi, cô ấy đã mỉm cười và gật đầu, nhưng không nói gì.","When she saw me, she smiled and nodded, but didn't say anything."
H5_10_73,好邻居之间应该彼此信任，互相帮助。,Hàng xóm tốt nên tin tưởng và giúp đỡ lẫn nhau.,Good neighbors should trust and help each other.
H5_10_74,离开公寓时请记得把门锁上。,Xin hãy nhớ khóa cửa khi bạn rời khỏi căn hộ.,Please remember to lock the door when you leave the apartment.
H5_10_75,考试的结果还未公布。,Kết quả của kỳ thi vẫn chưa được công bố.,The results of the examination have not yet been announced.
H5_10_76,他把一根铜线弯成了心形。,Anh ấy đã uốn một sợi dây đồng thành hình trái tim.,He bent a copper wire into the shape of a heart.
H5_10_77,请把你的电脑连接上Wi-Fi网络。,Vui lòng kết nối máy tính của bạn với mạng Wi-Fi.,Please connect your computer to the Wi-Fi network.
H5_10_78,如果你对朋友撒谎，你就会失去他们的信任。,"Nếu bạn nói dối bạn bè, bạn sẽ mất đi sự tin tưởng của họ.","If you lie to your friends, you will lose their trust."
H5_10_79,锁门可以防止小偷进屋。,Khóa cửa có thể ngăn chặn kẻ trộm vào nhà.,Locking the door can prevent thieves from entering the house.
H5_10_80,信任是任何关系的基础，我们必须彼此信任。,Sự tin tưởng là nền tảng của bất kỳ mối quan hệ nào; chúng ta phải tin tưởng lẫn nhau.,Trust is the foundation of any relationship; we must trust each other.
H5_10_81,一个温暖的微笑可以拉近彼此的距离。,Một nụ cười ấm áp có thể kéo mọi người lại gần nhau hơn.,A warm smile can bring people closer to each other.
H5_10_82,这座桥连接着城市的两边。,Cây cầu này kết nối hai bên của thành phố.,This bridge connects the two sides of the city.
H5_10_83,公寓楼下的便利店出售各种日用品。,Cửa hàng tiện lợi ở tầng dưới của khu chung cư bán đủ loại đồ dùng hàng ngày.,The convenience store downstairs from the apartment sells all kinds of daily necessities.
H5_10_84,警察抓住了偷钱包的小偷。,Cảnh sát đã bắt được tên trộm đã lấy cắp chiếc ví.,The police caught the thief who stole the wallet.
H5_10_85,虽然他还未找到钱包，但他没有失去希望。,"Mặc dù anh ấy vẫn chưa tìm thấy ví tiền, nhưng anh ấy không mất hy vọng.","Although he has not yet found his wallet, he has not lost hope."
H5_10_86,这是一面古代的铜镜。,Đây là một chiếc gương đồng cổ.,This is an ancient copper mirror.
H5_10_87,前面的路向左弯。,Con đường phía trước uốn cong về bên trái.,The road ahead curves to the left.
H5_11_1,我在网上看到了贵公司的招聘广告，想来应聘销售职位。,Tôi thấy quảng cáo tuyển dụng của công ty bạn trên mạng và muốn ứng tuyển vào vị trí bán hàng.,I saw your company's recruitment ad online and I want to apply for the sales position.
H5_11_2,他从事营销工作很多年了，非常有经验。,Ông ấy đã làm công việc marketing trong nhiều năm và rất có kinh nghiệm.,He has been engaged in marketing work for many years and is very experienced.
H5_11_3,这份新工作充满了挑战，但是我非常喜欢。,"Công việc mới này đầy thử thách, nhưng tôi rất thích nó.","This new job is full of challenges, but I like it very much."
H5_11_4,作为一名销售，你必须善于跟各种各样的客户打交道。,"Là một nhân viên bán hàng, bạn phải giỏi giao tiếp với nhiều loại khách hàng khác nhau.","As a salesperson, you must be good at dealing with different kinds of customers."
H5_11_5,很多大学生都会找兼职来赚钱。,Nhiều sinh viên đại học tìm việc làm thêm để kiếm một ít tiền.,Many university students find part-time jobs to earn some money.
H5_11_6,请记得在邮件里附上你的简历。,Hãy nhớ đính kèm sơ yếu lý lịch của bạn vào email.,Please remember to attach your resume to the email.
H5_11_7,你可以跟我说一下公司的工作制度吗？,Bạn có thể cho tôi biết về chế độ làm việc của công ty không?,Can you tell me about the company's work system?
H5_11_8,毕业以后，他去大城市打工了。,"Sau khi tốt nghiệp, anh ấy đã đến một thành phố lớn để làm thuê kiếm sống.","After graduating, he went to a big city to work for a living."
H5_11_9,你想应聘什么职位？,Bạn đang muốn ứng tuyển vào vị trí nào?,What kind of position are you looking to apply for?
H5_11_10,我父亲从事的是科学研究工作。,Bố tôi làm công việc nghiên cứu khoa học.,My father is engaged in scientific research.
H5_11_11,你的简历应该突出你的优点和工作经验。,Sơ yếu lý lịch của bạn nên làm nổi bật điểm mạnh và kinh nghiệm làm việc.,Your resume should highlight your strengths and work experience.
H5_11_12,除了主要工作以外，我还有一个翻译的兼职。,"Ngoài công việc chính, tôi còn có một công việc bán thời gian là dịch thuật.","Besides my main job, I also have a part-time job as a translator."
H5_11_13,我不喜欢跟不诚实的人打交道。,Tôi không thích giao tiếp với những người không trung thực.,I don't like dealing with people who are not honest.
H5_11_14,爬这座山对我来说是一个巨大的挑战。,Leo ngọn núi này là một thử thách rất lớn đối với tôi.,Climbing this mountain is a huge challenge for me.
H5_11_15,我们销售部这个月的业绩非常好。,Thành tích của bộ phận bán hàng của chúng ta tháng này rất xuất sắc.,Our sales department's performance this month is excellent.
H5_11_16,现在社交媒体营销非常流行。,Marketing trên mạng xã hội ngày nay rất phổ biến.,Social media marketing is very popular nowadays.
H5_11_17,每个学校都有自己的规章制度。,Mỗi trường học đều có nội quy và chế độ riêng.,Every school has its own rules and system.
H5_11_18,暑假我打算去咖啡店打工。,"Trong kỳ nghỉ hè, tôi dự định đi làm thêm ở một quán cà phê.","During summer vacation, I plan to work at a coffee shop."
H5_11_19,恭喜你被这所大学录取了！,Chúc mừng bạn đã được nhận vào trường đại học này!,Congratulations on being admitted to this university!
H5_11_20,你看到老师的时候，应该跟他打个招呼。,"Khi bạn nhìn thấy giáo viên, bạn nên chào hỏi thầy.","When you see the teacher, you should greet him."
H5_11_21,关于这个技术问题，我需要向专家请教一下。,"Về vấn đề kỹ thuật này, tôi cần phải thỉnh giáo một chuyên gia.","Regarding this technical issue, I need to ask an expert for advice."
H5_11_22,他对公司的主要业务非常熟悉。,Anh ấy rất quen thuộc với nghiệp vụ chính của công ty.,He is very familiar with the company's main business.
H5_11_23,请你去人事部门办一下入职手续。,Vui lòng đến Phòng Nhân sự để hoàn tất thủ tục nhận việc.,Please go to the Human Resources Department to complete the onboarding procedures.
H5_11_24,为了完成这个任务，所有部门都必须积极配合。,"Để hoàn thành nhiệm vụ này, tất cả các phòng ban phải tích cực phối hợp.","To complete this task, all departments must actively cooperate."
H5_11_25,政府围绕环境保护制定了新的政策。,Chính phủ đã xây dựng một chính sách mới xoay quanh việc bảo vệ môi trường.,The government has formulated a new policy centered on environmental protection.
H5_11_26,这份报告不够全面，缺少了很多重要的细节。,Báo cáo này không đủ toàn diện; nhiều chi tiết quan trọng bị thiếu.,This report is not comprehensive enough; many important details are missing.
H5_11_27,我们必须抓紧时间在截止日期前找到解决方案。,Chúng ta phải khẩn trương tìm ra giải pháp trước thời hạn.,We must hurry up and find a solution before the deadline.
H5_11_28,关于这份合同，我需要咨询一下律师。,Tôi cần tư vấn luật sư về hợp đồng này.,I need to consult a lawyer about this contract.
H5_11_29,这个城市正在努力完善它的公共交通系统。,Thành phố đang nỗ lực hoàn thiện hệ thống giao thông công cộng của mình.,The city is working hard to improve its public transportation system.
H5_11_30,如果你对业务不熟悉，可以向人事部门请教。,"Nếu bạn không quen thuộc với nghiệp vụ, bạn có thể thỉnh giáo phòng nhân sự.","If you are not familiar with the business, you can ask the human resources department for advice."
H5_11_31,开始项目前，请跟其他部门打个招呼，以确保他们的配合。,"Trước khi bắt đầu dự án, vui lòng thông báo cho các phòng ban khác để đảm bảo sự phối hợp của họ.","Before starting the project, please inform other departments to ensure their cooperation."
H5_11_32,我们要抓紧时间，围绕用户需求制定一个更全面的计划。,Chúng ta cần khẩn trương xây dựng một kế hoạch toàn diện hơn xoay quanh nhu cầu của người dùng.,We need to hurry up and formulate a more comprehensive plan centered on user needs.
H5_11_33,我想咨询一下专家来帮助完善这个计划。,Tôi muốn tư vấn một chuyên gia để giúp hoàn thiện kế hoạch này.,I want to consult an expert to help improve this plan.
H5_11_34,我听说公司今年录取了好几个应届毕业生，他们会被分配到不同的部门。,Tôi nghe nói năm nay công ty đã tuyển một vài sinh viên mới tốt nghiệp. Họ sẽ được phân vào các phòng ban khác nhau.,I heard that the company has admitted several new graduates this year. They will be assigned to different departments.
H5_11_35,这个季度的销售表现极其恶劣，经理责备了整个队伍。,"Thành tích bán hàng quý này cực kỳ tồi tệ, và giám đốc đã trách mắng toàn bộ đội ngũ.","This quarter's sales performance was extremely poor, and the manager blamed the entire team."
H5_11_36,公司的经营状况不好，营业额和利润都在下降。,Tình hình kinh doanh của công ty không tốt; cả doanh thu và lợi nhuận đều đang giảm sút.,The company's operating conditions are not good; both the turnover and profit are declining.
H5_11_37,他给出了很多理由，但没有任何理由能代替实际成果的重要性。,"Anh ấy đã đưa ra nhiều lý do, nhưng không có lý do nào có thể thay thế tầm quan trọng của kết quả thực tế.","He gave many reasons, but no reason can replace the importance of actual results."
H5_11_38,最终报告必须包括所有部门的数据。,Báo cáo cuối cùng phải bao gồm dữ liệu từ tất cả các phòng ban.,The final report must include data from all departments.
H5_11_39,他朝会议室走去，准备说明新的营业时间。,"Anh ấy đi về phía phòng họp, chuẩn bị giải thích về giờ làm việc mới.","He walked towards the conference room, preparing to explain the new business hours."
H5_11_40,今天的天气极其恶劣，我不想出门。,Thời tiết hôm nay cực kỳ tồi tệ; tôi không muốn ra ngoài.,The weather today is extremely bad; I don't want to go out.
H5_11_41,不要总是为自己的错误去责备别人。,Đừng luôn trách mắng người khác vì lỗi lầm của chính mình.,Don't always blame others for your own mistakes.
H5_11_42,他最近在学校的表现很好。,Thành tích của cậu ấy ở trường gần đây rất tốt.,His performance in school has been very good recently.
H5_11_43,你能给我一个迟到的理由吗？,Bạn có thể cho tôi một lý do cho việc đi muộn không?,Could you give me a reason for being late?
H5_11_44,没有人能代替你在我心中的位置。,Không ai có thể thay thế vị trí của em trong trái tim anh.,No one can replace your position in my heart.
H5_11_45,他们经营着一家小餐馆，生意不错。,Họ kinh doanh một nhà hàng nhỏ và việc làm ăn rất tốt.,"They run a small restaurant, and business is good."
H5_11_46,这个价格包括税吗？,Giá này đã bao gồm thuế chưa?,Does this price include tax?
H5_11_47,为了提高利润，我们必须先提高营业额。,"Để tăng lợi nhuận, chúng ta phải tăng doanh thu trước.","To increase profits, we must first increase turnover."
H5_11_48,汽车正朝东边开去。,Chiếc xe đang chạy về hướng đông.,The car is driving towards the east.
H5_11_49,我们学校的篮球队赢得了冠军。,Đội bóng rổ của trường chúng tôi đã giành chức vô địch.,Our school's basketball team won the championship.
H5_11_50,这家商店下个月将停止营业。,Cửa hàng này sẽ ngừng kinh doanh vào tháng tới.,This store will stop doing business next month.
H5_11_51,我们的团队需要更多的技术人才来完成这个项目。,Đội của chúng ta cần thêm nhân tài kỹ thuật để hoàn thành dự án này.,Our team needs more technical talent to complete this project.
H5_11_52,她在这场比赛中的表现确实非常出色。,Màn trình diễn của cô ấy trong cuộc thi này thực sự rất xuất sắc.,Her performance in this competition was truly outstanding.
H5_11_53,糟糕，我忘了带钥匙了！,"Ôi không, tôi quên chìa khóa rồi. Tệ thật!","Oh no, I forgot my keys. This is terrible!"
H5_11_54,今天我又没赶上公交车，真倒霉！,"Hôm nay tôi lại lỡ xe buýt, thật xui xẻo!","I missed the bus again today, how unlucky!"
H5_11_55,我听见有人在街对面喊我的名字。,Tôi nghe thấy có người gọi tên tôi từ bên kia đường.,I heard someone shouting my name from across the street.
H5_11_56,穿上这件西装后，你显得专业多了。,"Sau khi mặc bộ vest này vào, bạn trông chuyên nghiệp hơn nhiều.","After putting on this suit, you appear much more professional."
H5_11_57,一群鸽子正在河岸上休息。,Một đàn bồ câu đang nghỉ ngơi trên bờ sông.,A flock of pigeons is resting on the river bank.
H5_11_58,蜜蜂飞行时，它的翅膀振动得非常快。,Cánh của con ong rung động rất nhanh khi nó bay.,The bee's wings vibrate very quickly when it flies.
H5_11_59,通过努力，我们终将到达成功的彼岸。,"Thông qua nỗ lực chăm chỉ, cuối cùng chúng ta cũng có thể đến được bến bờ thành công.","Through hard work, we can finally reach the shore of success."
H5_11_60,在公司里，团队精神极其重要。,"Trong một công ty, tinh thần đồng đội là vô cùng quan trọng.","In a company, team spirit is extremely important."
H5_11_61,公司正在寻找出色的管理人才。,Công ty đang tìm kiếm những nhân tài quản lý xuất sắc.,The company is looking for outstanding management talent.
H5_11_62,如果你总觉得事情很糟糕，你的生活也会变得很困难。,"Nếu bạn luôn cảm thấy mọi việc đều tồi tệ, cuộc sống của bạn cũng sẽ trở nên rất khó khăn.","If you always feel things are terrible, your life will also become very difficult."
H5_11_63,他觉得自己最近很倒霉，因为做什么事都不顺利。,Anh ấy cảm thấy gần đây mình rất xui xẻo vì không có việc gì thuận lợi cả.,He feels he's been very unlucky recently because nothing is going smoothly.
H5_11_64,听到那个坏消息后，他显得非常失望。,"Sau khi nghe tin xấu, anh ấy trông rất thất vọng.","After hearing the bad news, he appeared very disappointed."
H5_11_65,妈妈对在岸边玩的孩子喊，让他小心一点。,Người mẹ hét lên với đứa con đang chơi bên bờ sông phải cẩn thận.,The mother shouted to her child playing by the shore to be careful.
H5_11_66,翅膀受伤的鸟儿是飞不到彼岸的。,Một con chim với đôi cánh bị thương không thể bay đến bờ bên kia.,A bird with injured wings cannot fly to the other shore.
H5_11_67,开会时我的手机设置成了振动模式。,Điện thoại của tôi được đặt ở chế độ rung trong các cuộc họp.,My phone is set to vibrate mode during meetings.
H5_11_68,我喜欢在公园里喂鸽子。,Tôi thích cho bồ câu ăn trong công viên.,I love feeding the pigeons in the park.
H5_11_69,他非常珍惜这个来之不易的工作机会。,Anh ấy rất trân trọng cơ hội việc làm khó khăn mới có được này.,He cherished this hard-won job opportunity very much.
H5_11_70,我的梦想是成为一名米其林餐厅的厨师。,Ước mơ của tôi là trở thành một đầu bếp tại một nhà hàng sao Michelin.,My dream is to become a chef at a Michelin-starred restaurant.
H5_11_71,面临两个选择时，他犹豫了一阵儿。,"Khi đối mặt với hai lựa chọn, anh ấy đã do dự một lúc.","When faced with two choices, he hesitated for a while."
H5_11_72,科技行业的竞争非常激烈，大家都在抢人才。,Cạnh tranh trong ngành công nghệ vô cùng khốc liệt; mọi người đều đang tranh giành nhân tài.,The competition in the tech industry is extremely fierce; everyone is抢ing for talent.
H5_11_73,他的主要工作是向客户推销新的保险产品。,Công việc chính của anh ấy là quảng bá các sản phẩm bảo hiểm mới cho khách hàng.,His main job is to promote new insurance products to customers.
H5_11_74,我爷爷最大的爱好就是和老朋友们在公园里下象棋。,Sở thích lớn nhất của ông tôi là chơi cờ tướng với những người bạn già trong công viên.,My grandpa's biggest hobby is playing chess with his old friends in the park.
H5_11_75,不要总是夸你的孩子，有时候也要指出他的错误。,Đừng lúc nào cũng khen ngợi con bạn; đôi khi bạn cần chỉ ra lỗi của chúng.,Don't always praise your child; sometimes you need to point out their mistakes.
H5_11_76,哈哈，你的这个想法真有意思！,"Ha ha, ý tưởng của bạn thật thú vị!","Ha ha, your idea is really interesting!"
H5_11_77,我们应该珍惜和家人在一起的时光。,Chúng ta nên trân trọng thời gian ở bên gia đình.,We should cherish the time we spend with our family.
H5_11_78,一阵冷风吹来，让我发抖。,"Một cơn gió lạnh thổi qua, làm tôi rùng mình.","A gust of cold wind blew in, making me shiver."
H5_11_79,新手机发布的时候，很多人都抢着去买。,"Khi chiếc điện thoại mới được phát hành, rất nhiều người đã đổ xô đi mua.","When the new phone was released, many people rushed to buy it."
H5_11_80,你认为现在哪个行业利润最大？,Bạn nghĩ ngành nào hiện nay có lợi nhuận cao nhất?,What industry do you think is the most profitable right now?
H5_11_81,厨师夸这道新菜的味道很特别。,Đầu bếp khen ngợi hương vị của món ăn mới này rất đặc biệt.,The chef praised this new dish's flavor as being very special.
H5_11_82,我很讨厌每天都接到推销电话。,Tôi ghét nhận các cuộc gọi tiếp thị qua điện thoại mỗi ngày.,I hate receiving telemarketing calls every day.
H5_11_83,做决定前不要犹豫，应该仔细考虑。,"Trước khi đưa ra quyết định, đừng do dự. Bạn nên cân nhắc kỹ lưỡng.","Before making a decision, don't hesitate. You should consider it carefully."
H5_11_84,这家公司目前正面临着巨大的财务危机。,Công ty hiện đang đối mặt với một cuộc khủng hoảng tài chính lớn.,The company is currently facing a huge financial crisis.
H5_11_85,我的象棋水平很差，下不过你。,Kỹ năng chơi cờ tướng của tôi rất kém; tôi không thể thắng bạn.,My Chinese chess skills are very poor; I can't beat you.
H5_12_1,每一种投资都有一定程度的风险。,Mọi khoản đầu tư đều có mức độ rủi ro nhất định.,Every investment has some degree of risk.
H5_12_2,虽然银行存款很安全，但是利息实在太低了。,Mặc dù tiền gửi ngân hàng an toàn nhưng lãi suất thực sự quá thấp.,"Although bank deposits are safe, the interest is really too low."
H5_12_3,他用一部分资金为家人购买了健康保险。,Anh ấy đã dùng một phần vốn để mua bảo hiểm sức khỏe cho gia đình.,He used a portion of his funds to buy health insurance for his family.
H5_12_4,公司公布了财务数据以后，它的股票价格就涨了。,"Sau khi công ty công bố dữ liệu tài chính, giá cổ phiếu của họ đã tăng.","After the company announced its financial data, its stock price rose."
H5_12_5,根据目前的经济形势，投资股票的风险很大。,"Dựa trên tình hình kinh tế hiện tại, đầu tư vào cổ phiếu rất rủi ro.","Based on the current economic situation, investing in stocks is very risky."
H5_12_6,对他来说，选择买哪支股票是一次很大的冒险。,"Đối với anh ấy, việc chọn mua cổ phiếu nào là một cuộc phiêu lưu lớn.","For him, choosing which stock to buy is a big adventure."
H5_12_7,学校下周一将公布考试成绩。,Nhà trường sẽ công bố kết quả thi vào thứ Hai tới.,The school will announce the exam results next Monday.
H5_12_8,为保险起见，你应该备份一下这些重要数据。,"Để cho chắc ăn, bạn nên sao lưu những dữ liệu quan trọng này.","To be on the safe side, you should back up this important data."
H5_12_9,因为资金不足，这个项目被取消了。,Dự án đã bị hủy bỏ do thiếu vốn.,The project was cancelled due to a lack of funds.
H5_12_10,大雨过后，河水开始涨了。,"Sau cơn mưa lớn, mực nước sông bắt đầu dâng lên.","After the heavy rain, the river water level began to rise."
H5_12_11,一个人去新的国家旅行对她来说是一次大冒险。,Du lịch một mình đến một đất nước xa lạ là một cuộc phiêu lưu lớn đối với cô ấy.,Traveling alone to a new country is a big adventure for her.
H5_12_12,这笔贷款的利息是多少？是固定的吗？,Lãi suất cho khoản vay này là bao nhiêu? Nó có cố định không?,What is the interest rate for this loan? Is it fixed?
H5_12_13,最近的国际形势变得非常紧张。,Tình hình quốc tế gần đây đã trở nên rất căng thẳng.,The international situation has become very tense recently.
H5_12_14,我现在没有足够的资金来投资，只有一些银行存款。,"Tôi không có đủ vốn để đầu tư bây giờ, chỉ có một ít tiền gửi tiết kiệm.","I don't have enough funds to invest right now, just some bank deposits."
H5_12_15,购买保险是管理财务风险的常见方法。,Mua bảo hiểm là một phương pháp phổ biến để quản lý rủi ro tài chính.,Buying insurance is a common method to manage financial risk.
H5_12_16,我想预订一个宴会厅，相关费用是多少？,Tôi muốn đặt một phòng tiệc. Chi phí liên quan là bao nhiêu?,I would like to book a banquet hall. What are the related costs?
H5_12_17,感谢您的光临。我们的接待人员会帮助您。,Cảm ơn quý khách đã ghé thăm. Nhân viên lễ tân của chúng tôi sẽ hỗ trợ quý khách.,Thank you for gracing us with your presence. Our reception staff will assist you.
H5_12_18,公司计划下个月中旬召开一个大规模的会议。,Công ty dự định tổ chức một cuộc họp quy mô lớn vào giữa tháng sau.,The company plans to hold a large-scale meeting in the middle of next month.
H5_12_19,有多少位客人会出席这个婚礼宴会？,Có bao nhiêu khách sẽ tham dự tiệc cưới này?,How many guests will attend this wedding banquet?
H5_12_20,他在那家酒店预订了一间豪华商务套间。,Anh ấy đã đặt một phòng hạng thương gia sang trọng tại khách sạn đó.,He booked a luxurious business suite at that hotel.
H5_12_21,接待这些外国客人的费用相当高。,Chi phí tiếp đãi những vị khách nước ngoài này khá cao.,The cost of receiving these foreign guests is quite high.
H5_12_22,这次国际会议的召开规模是前所未有的。,Quy mô của hội nghị quốc tế lần này là chưa từng có.,The scale of this international conference is unprecedented.
H5_12_23,所有部门经理都必须出席这次重要的商务会议。,Tất cả các trưởng phòng đều phải tham dự cuộc họp kinh doanh quan trọng này.,All department managers must attend this important business meeting.
H5_12_24,欢迎光临小店，里面请！,"Chào mừng quý khách đến cửa hàng, mời vào trong!","Welcome to my shop, please come in!"
H5_12_25,我在网上预订了最新款的智能手机。,Tôi đã đặt trước chiếc điện thoại thông minh mẫu mới nhất trên mạng.,I pre-ordered the latest smartphone online.
H5_12_26,我的工资是每个月中旬发的。,Lương của tôi được trả vào giữa mỗi tháng.,My salary is paid in the middle of every month.
H5_12_27,学校这周五要召开家长会。,Trường học sẽ tổ chức một cuộc họp phụ huynh vào thứ Sáu tuần này.,The school will hold a parent-teacher meeting this Friday.
H5_12_28,这家公司近几年的规模越来越大。,Quy mô của công ty này ngày càng lớn trong những năm gần đây.,This company has grown in size over the past few years.
H5_12_29,因为工作原因，他没能出席儿子的毕业典礼。,"Vì lý do công việc, anh ấy đã không thể tham dự lễ tốt nghiệp của con trai mình.",He was unable to attend his son's graduation ceremony due to work.
H5_12_30,在上海一个月的生活费用是多少？,Chi phí sinh hoạt một tháng ở Thượng Hải là bao nhiêu?,What are the living expenses in Shanghai for one month?
H5_12_31,他买了一辆豪华汽车作为生日礼物送给妻子。,Anh ấy đã mua một chiếc xe hơi sang trọng làm quà sinh nhật cho vợ.,He bought a luxury car for his wife as a birthday present.
